square matrix size 2000 to 2900

Starting matrix multiplication with row-major indexing.
Matrix multiplication of matrices took 5.71000 seconds.
Matrix multiplication of matrices took 6.79000 seconds.
Matrix multiplication of matrices took 7.86000 seconds.
Matrix multiplication of matrices took 9.19000 seconds.
Matrix multiplication of matrices took 10.44000 seconds.
Matrix multiplication of matrices took 11.96000 seconds.
Matrix multiplication of matrices took 13.34000 seconds.
Matrix multiplication of matrices took 15.12000 seconds.
Matrix multiplication of matrices took 16.70000 seconds.
Matrix multiplication of matrices took 18.72000 seconds.

